遺跡名,緯度,経度,点数,形態分類
長森遺跡,40.848055,140.850277,1,A-1
乳井茶臼館,40.54715875,140.5636894,1,B-7
サンニヤⅢ遺跡,40.407222,141.7025,1,B-3
石亀遺跡,40.303864,141.097541,1,B-3
上新城中学校遺跡,39.7925,140.126666,2,"B-3, B-7"
本宮熊堂A遺跡,39.6825,141.125833,1,B-2
岱3遺跡,39.631388,140.177499,1,B-7
三井寺遺跡,39.305282,140.574405,1,B-7
平鹿遺跡,39.20575049,140.5611133,17,"A-1(8点), A-2(1点), B-3(2点), B-6(1点), B-7(4点), 不明1点"
川内遺跡,39.0212,141.6643,1,A-1
釜淵C遺跡,38.926488,140.266666,1,A-1
柴の脇遺跡,38.76925429,141.1135261,2,B-3(2点)
山王囲遺跡,38.74085826,140.9491376,4,"A-1(1点), B-3(1点), 不明2点"
漆坊遺跡,38.63663749,140.4192383,4,"A-1, A-4, B-3, B-7 "
北小松遺跡,38.619444,141.005,13,"A-2(2点), B-3(3点), B-4(1点), B-7(3点), 不明4点"
摺萩遺跡,38.3927,140.8191,1,A-3
北柳１遺跡,38.299722,140.346552,1,B-7
能登遺跡,37.537899,139.81157,1,B-7
桜町遺跡,37.1109,140.9177,1,B-7
小和瀬遺跡,37.496666,139.680833,5,"B-3(3点), B-6(1点), 不明1点"
